Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,ObjectId,PLATJA,ID1,LOC,Sectors,nombre_place,id_place
Badalona nort,,,,,,-1,0,-1,,,2736,Pont d\'en Botifarreta,BD,28,BD28,Badalona nort BD28,588
Badalona nort,,,,,,-1,0,-1,,,2737,Cristall,BD,29,BD29,Badalona nort BD29,589
Badalona nort,,,,,,-1,0,-1,,,2738,Cristall,BD,30,BD30,Badalona nort BD30,590
Badalona nort,,,,,,-1,0,-1,,,2739,Cristall,BD,31,BD31,Badalona nort BD31,591
Badalona nort,,,,,,-1,0,-1,,,2740,Barca Maria,BD,32,BD32,Badalona nort BD32,592
Badalona nort,,,,,,-1,0,-1,,,2741,Barca Maria,BD,33,BD33,Badalona nort BD33,593
Badalona nort,,,,,,-1,0,-1,,,2742,Barca Maria,BD,34,BD34,Badalona nort BD34,594
Badalona nort,,,,,,-1,0,-1,,,2743,Barca Maria,BD,35,BD35,Badalona nort BD35,595
Badalona nort,,,,,,-1,0,-1,,,2744,Barca Maria,BD,36,BD36,Badalona nort BD36,596
Badalona nort,,,,,,-1,0,-1,,,2745,Barca Maria,BD,37,BD37,Badalona nort BD37,597
Badalona nort,,,,,,-1,0,-1,,,2746,Barca Maria,BD,38,BD38,Badalona nort BD38,598
El Prat,,,,,,-1,0,-1,,,2632,El Remolar (El Prat),PR,1,PR01,El Prat PR01,599
El Prat,,,,,,-1,0,-1,,,2633,La Roberta,PR,2,PR02,El Prat PR02,600
El Prat,,,,,,-1,0,-1,,,2634,La Roberta,PR,3,PR03,El Prat PR03,601
El Prat,,,,,,-1,0,-1,,,2635,La Roberta,PR,4,PR04,El Prat PR04,602
El Prat,,,,,,-1,0,-1,,,2636,La Roberta,PR,5,PR05,El Prat PR05,603
El Prat,,,,,,-1,0,-1,,,2637,La Roberta,PR,6,PR06,El Prat PR06,604
El Prat,,,,,,-1,0,-1,,,2638,La Roberta,PR,7,PR07,El Prat PR07,605
El Prat,,,,,,-1,0,-1,,,2639,La Roberta,PR,8,PR08,El Prat PR08,606
